company_name,high,low,last_price,prev_close,change,percent_gain
Cochin Shipyard,"1,652.80","1,629.90","1,643.20","1,629.50",13.7,0.84
REC,372.60,369.10,371.20,368.10,3.1,0.84
Graphite India,527.40,521.50,524.20,519.90,4.3,0.83
NMDC,75.45,74.31,75.28,74.66,0.62,0.83
Tejas Networks,596.60,589.05,592.50,587.65,4.85,0.83
Karur Vysya,209.35,203.92,206.49,204.82,1.67,0.82
Cipla,"1,571.00","1,553.90","1,563.80","1,551.60",12.2,0.79
Newgen Software,909.00,877.00,884.95,878.00,6.95,0.79
Lodha Developer,"1,193.00","1,172.40","1,181.60","1,172.40",9.2,0.78
Sonata,381.50,369.10,372.40,369.50,2.9,0.78
Castrol,199.12,197.25,198.87,197.39,1.48,0.75
IRCTC,721.50,714.10,718.55,713.20,5.35,0.75
New India Assur,196.60,191.78,192.52,191.09,1.43,0.75
Max Financial,"1,615.00","1,595.00","1,609.40","1,597.50",11.9,0.74
Swan Corp,461.85,447.10,449.35,446.05,3.3,0.74
JBM Auto,638.00,623.20,631.35,626.75,4.6,0.73
Caplin Labs,"2,233.00","2,193.80","2,219.70","2,203.90",15.8,0.72
Shipping Corp,209.80,207.21,208.00,206.51,1.49,0.72
Finolex Cables,849.20,840.00,844.10,838.15,5.95,0.71
Gujarat Gas,435.95,430.05,432.20,429.15,3.05,0.71
Larsen,"3,577.40","3,541.10","3,550.00","3,525.00",25,0.71
Sai Life Sci,868.55,854.40,861.70,855.65,6.05,0.71
Glenmark,"2,135.00","2,104.00","2,130.90","2,116.30",14.6,0.69
Vodafone Idea,7.51,7.29,7.32,7.27,0.05,0.69
ICICI Prudentia,605.80,597.85,602.25,598.15,4.1,0.69
Jio Financial,313.40,309.25,310.05,307.95,2.1,0.68
Amber Enterpris,"7,882.00","7,741.00","7,869.00","7,817.00",52,0.67
NHPC,79.29,78.63,79.10,78.57,0.53,0.67
Kotak Mahindra,"1,988.90","1,965.80","1,973.30","1,960.40",12.9,0.66
Bajaj Finserv,"2,047.00","2,026.60","2,038.20","2,025.30",12.9,0.64
HINDPETRO,393.90,388.80,392.40,389.90,2.5,0.64
Container Corp,547.40,540.90,544.95,541.55,3.4,0.63
Latent View,428.05,420.00,425.50,422.85,2.65,0.63
Piramal Pharma,202.34,198.70,199.41,198.17,1.24,0.63
RamkrishnaForge,605.95,581.35,584.85,581.20,3.65,0.63
SBFC Finance,107.72,106.00,106.99,106.32,0.67,0.63
Jyoti CNC Auto,930.75,910.00,916.70,911.05,5.65,0.62
Schneider Infra,889.00,858.20,881.45,876.00,5.45,0.62
Adani Total Gas,602.70,596.05,598.20,594.60,3.6,0.61
Aurobindo Pharm,"1,074.00","1,048.00","1,050.30","1,043.90",6.4,0.61
Capri Global,191.80,186.38,187.99,186.85,1.14,0.61
SUMITOMO,576.30,566.15,569.60,566.15,3.45,0.61
Bikaji Foods,779.95,767.00,774.30,769.65,4.65,0.6
Dabur India,548.95,543.70,547.50,544.25,3.25,0.6
GlaxoSmithKline,"2,855.90","2,801.60","2,837.50","2,820.60",16.9,0.6
Aditya Birla Re,"1,813.10","1,785.00","1,791.00","1,780.50",10.5,0.59
Godrej Agrovet,752.10,737.60,740.60,736.40,4.2,0.57
Gujarat Pipavav,152.61,150.51,151.48,150.62,0.86,0.57
LIC Housing Fin,563.50,558.90,560.75,557.55,3.2,0.57
Jindal Steel,"1,042.05","1,030.05","1,039.60","1,034.10",5.5,0.53
Deepak Fert,"1,427.80","1,412.80","1,420.10","1,412.70",7.4,0.52
GMR Airports,87.68,86.89,87.27,86.82,0.45,0.52
Triveni Turbine,520.95,513.50,515.95,513.30,2.65,0.52
GAIL,174.23,173.10,173.85,172.96,0.89,0.51
Rashtriya Chem,153.91,151.50,152.28,151.51,0.77,0.51
AAVAS Financier,"1,604.00","1,580.80","1,596.90","1,589.20",7.7,0.48
360 ONE WAM,"1,063.50","1,043.60","1,048.90","1,043.90",5,0.48
NTPC,328.05,325.15,325.65,324.10,1.55,0.48
Tata Power,390.95,386.05,386.50,384.65,1.85,0.48
Kalyan Jeweller,505.70,499.65,502.60,500.25,2.35,0.47
BEML,"4,110.00","4,043.00","4,064.70","4,046.20",18.5,0.46
Cera Sanitary,"6,430.00","6,315.00","6,374.00","6,344.50",29.5,0.46
ABB India,"5,195.00","5,121.00","5,155.00","5,131.90",23.1,0.45
Honasa Consumer,304.65,300.50,303.35,302.00,1.35,0.45
IndusInd Bank,755.85,746.10,749.45,746.15,3.3,0.44
DLF,762.45,750.00,754.30,751.10,3.2,0.43
ITC,412.65,408.95,411.70,410.05,1.65,0.4
Zydus Life,"1,049.85","1,033.00","1,039.60","1,035.60",4,0.39
NCC,208.79,206.25,206.50,205.70,0.8,0.39
City Union Bank,203.96,199.55,201.76,201.00,0.76,0.38
SJVN,93.78,92.70,92.86,92.51,0.35,0.38
Phoenix Mills,"1,571.00","1,548.00","1,561.20","1,555.50",5.7,0.37
Cummins,"4,095.00","4,023.20","4,026.60","4,012.00",14.6,0.36
Natco Pharma,863.60,841.80,844.25,841.25,3,0.36
Redington,249.20,242.40,244.17,243.29,0.88,0.36
Colgate,"2,417.60","2,392.20","2,407.40","2,398.90",8.5,0.35
Rainbow Child,"1,501.80","1,480.00","1,488.80","1,483.80",5,0.34
GNFC,510.00,504.90,507.10,505.45,1.65,0.33
Jubilant Ing.,720.00,710.05,715.30,713.00,2.3,0.32
PI Industries,"3,755.00","3,684.70","3,707.20","3,695.50",11.7,0.32
Rail Vikas,339.55,332.70,333.45,332.40,1.05,0.32
Sammaan Capital,139.10,136.25,136.74,136.32,0.42,0.31
Polycab,"7,271.00","7,206.50","7,215.00","7,193.00",22,0.31
Data Patterns,"2,587.40","2,538.20","2,568.60","2,560.80",7.8,0.3
Kajaria Ceramic,"1,269.00","1,235.50","1,243.60","1,240.00",3.6,0.29
Marico,737.70,728.90,734.55,732.50,2.05,0.28
LIC India,879.70,874.70,877.05,874.70,2.35,0.27
Varun Beverages,479.70,474.65,475.80,474.50,1.3,0.27
JSW Infra,318.50,312.50,313.85,313.05,0.8,0.26
Page Industries,"44,610.00","44,200.00","44,425.00","44,310.00",115,0.26
Fert and Chem,988.00,967.80,971.45,969.00,2.45,0.25
Hind Copper,249.49,243.75,244.94,244.33,0.61,0.25
HUDCO,218.65,215.72,216.38,215.85,0.53,0.25
Asian Paints,"2,555.00","2,525.10","2,543.30","2,537.30",6,0.24
Aarti Ind,396.60,387.05,388.90,388.00,0.9,0.23
Eris Life,"1,745.00","1,696.10","1,713.70","1,710.00",3.7,0.22
General Insuran,368.40,365.25,366.75,365.95,0.8,0.22
Route,875.00,859.25,862.10,860.25,1.85,0.22
Aster DM Health,649.00,638.00,642.35,641.00,1.35,0.21
Bajaj Housing,112.85,111.95,112.07,111.84,0.23,0.21
CenturyPlyboard,807.00,786.45,789.85,788.20,1.65,0.21
SAIL,131.55,129.23,129.72,129.45,0.27,0.21
Vedanta,437.50,432.00,433.70,432.80,0.9,0.21
BASF,"4,675.00","4,602.00","4,627.90","4,619.30",8.6,0.19
ONGC,233.04,231.00,231.74,231.33,0.41,0.18
Tata Steel,170.73,168.75,169.43,169.15,0.28,0.17
Blue Star,"1,911.20","1,877.00","1,890.10","1,887.00",3.1,0.16
Coromandel Int,"2,251.40","2,207.20","2,220.00","2,216.40",3.6,0.16
TataTeleservice,57.55,57.00,57.08,56.99,0.09,0.16
Kirloskar Bros,"2,001.00","1,965.80","1,971.40","1,968.30",3.1,0.16
Navin Fluorine,"4,837.80","4,735.00","4,777.70","4,770.70",7,0.15
IOC,141.71,140.81,141.14,140.94,0.2,0.14
Anand Rathi,"2,973.10","2,900.00","2,930.70","2,926.80",3.9,0.13
Bayer CropScien,"5,175.00","5,078.50","5,109.50","5,103.00",6.5,0.13
Inox India,"1,202.60","1,180.00","1,183.40","1,181.90",1.5,0.13
IRB Infra,42.82,42.25,42.32,42.27,0.05,0.12
Saregama India,508.25,496.30,500.55,500.00,0.55,0.11
MCX India,"7,779.00","7,581.00","7,619.00","7,611.50",7.5,0.1
Mah Seamless,643.15,636.85,639.30,638.65,0.65,0.1
Delhivery,468.75,460.90,464.35,463.95,0.4,0.09
Indiamart Inter,"2,593.40","2,553.80","2,577.10","2,574.80",2.3,0.09
Jyothy Labs,327.65,324.55,325.70,325.40,0.3,0.09
HDFC Bank,973.90,961.70,965.90,965.15,0.75,0.08
Nuvama Wealth,"6,495.00","6,357.50","6,378.00","6,373.00",5,0.08
Godrej Consumer,"1,256.40","1,235.50","1,245.80","1,244.90",0.9,0.07
JK Tyre Ind,358.60,352.20,356.30,356.05,0.25,0.07
Network 18,55.59,54.33,54.47,54.43,0.04,0.07
UTI AMC,"1,371.80","1,340.70","1,341.60","1,340.70",0.9,0.07
Authum Invest,"3,158.40","3,081.30","3,113.20","3,111.30",1.9,0.06
HUL,"2,652.90","2,619.00","2,643.50","2,642.00",1.5,0.06
Reliance,"1,388.50","1,374.10","1,377.00","1,376.20",0.8,0.06
Ceat,"3,398.50","3,350.10","3,378.40","3,376.70",1.7,0.05
MM Financial,271.50,266.05,269.05,268.95,0.1,0.04
Linde India,"6,500.00","6,446.00","6,465.00","6,463.00",2,0.03
Hindalco,749.80,741.05,743.15,742.90,0.25,0.03
Jindal Saw,205.39,201.38,201.91,201.86,0.05,0.02
ICICI Bank,"1,413.70","1,402.10","1,403.90","1,403.70",0.2,0.01
